Conference,Team,Appearance,Last bid
America East,Hartford,1st,Never
American,Houston,22nd,2019
Atlantic 10,St. Bonaventure,8th,2018
ACC,Georgia Tech,17th,2010
ASUN,Liberty,5th,2019
Big 12,Texas,35th,2018
Big East,Georgetown,31st,2015
Big Sky,Eastern Washington,3rd,2015
Big South,Winthrop,11th,2017
Big Ten,Illinois,31st,2013
Big West,UC Santa Barbara,6th,2011
CAA,Drexel,5th,1996
C-USA,North Texas,4th,2010
Horizon,Cleveland State,3rd,2009
Ivy League,*Season not played*,,
MAAC,Iona,15th,2019
MAC,Ohio,14th,2012
MEAC,Norfolk State,2nd,2012
Missouri Valley,Loyola Chicago,7th,2018
Mountain West,San Diego State,13th,2018
NEC,Mount St. Mary's,6th,2017
Ohio Valley,Morehead State,8th,2011
Pac-12,Oregon State,15th,2016
Patriot,Colgate,4th,2019
SEC,Alabama,22nd,2018
Southern,UNC Greensboro,4th,2018
Southland,Abilene Christian,2nd,2019
SWAC,Texas Southern,9th,2018
Summit League,Oral Roberts,6th,2008
Sun Belt,Appalachian State,3rd,2000
WAC,Grand Canyon,1st,Never
WCC,Gonzaga,23rd,2019