,,,,,,,,,,,
Louisiana Tech Bulldogs,C-USA,15-18,-0.7,186,1,-0.4,-0.3,15.0-18.0,7.0-13.0,<0.1%,-
Montana Grizzlies,Big Sky,17-14,-0.8,187,2,1.4,-2.2,17.0-14.0,10.0-7.0,<0.1%,-
UMass Minutemen,A 10,15-16,-0.9,188,3,-2,1.1,15.0-16.0,6.0-12.0,<0.1%,-
Western Kentucky Hilltoppers,C-USA,17-16,-0.9,189,3,-0.6,-0.3,17.0-16.0,8.0-12.0,<0.1%,-
Quinnipiac Bobcats,MAAC,20-12,-0.9,190,6,-0.3,-0.6,20.0-12.0,11.0-9.0,<0.1%,-
Detroit Mercy Titans,Horizon,14-19,-0.9,191,1,4,-4.9,14.0-19.0,9.0-11.0,<0.1%,-
St. Bonaventure Bonnies,A 10,14-18,-1,192,1,-2.6,1.6,14.0-18.0,8.0-10.0,<0.1%,-
Portland Pilots,WCC,14-19,-1.1,193,3,3,-4.1,14.0-19.0,5.0-11.0,<0.1%,-
Siena Saints,MAAC,17-15,-1.1,194,1,-1.4,0.3,17.0-15.0,11.0-9.0,<0.1%,-
SMU Mustangs,American,10-22,-1.2,195,1,-1.6,0.4,10.0-22.0,5.0-13.0,<0.1%,-
Northern Iowa Panthers,MVC,14-18,-1.2,196,3,-0.3,-0.8,14.0-18.0,9.0-11.0,<0.1%,-
Purdue Fort Wayne Mastodons,Horizon,17-15,-1.2,197,--,-1.8,0.6,17.0-15.0,9.0-11.0,<0.1%,-
Grambling Tigers,SWAC,24-9,-1.3,198,5,-4,2.7,24.0-9.0,15.0-3.0,>99.9%,-
East Carolina Pirates,American,16-17,-1.3,199,1,-1.4,0.1,16.0-17.0,6.0-12.0,<0.1%,-
Florida State Seminoles,ACC,9-23,-1.4,200,2,0.4,-1.8,9.0-23.0,7.0-13.0,<0.1%,-
St. Thomas - Minnesota Tommies,Summit,19-14,-1.4,201,--,2.6,-4,19.0-14.0,9.0-9.0,<0.1%,-
Air Force Falcons,Mountain West,14-18,-1.4,202,4,-0.4,-1,14.0-18.0,5.0-13.0,<0.1%,-
Buffalo Bulls,MAC,15-17,-1.6,203,--,-1.1,-0.6,15.0-17.0,9.0-9.0,<0.1%,-
Milwaukee Panthers,Horizon,21-11,-1.7,204,--,-1.2,-0.5,21.4-11.6,14.0-6.0,<0.1%,52nd
Western Carolina Catamounts,Southern,18-15,-1.9,205,--,-0.7,-1.1,18.3-15.7,10.0-8.0,<0.1%,48th
Georgia Southern Eagles,Sun Belt,17-16,-1.9,206,--,-3.5,1.6,17.0-16.0,9.0-9.0,<0.1%,-
Texas A&M-Corpus Christi Islanders,Southland,24-11,-2,207,4,0.9,-2.8,24.0-11.0,14.0-4.0,>99.9%,-
La Salle Explorers,A 10,15-19,-2,208,--,-1.1,-0.9,15.0-19.0,7.0-11.0,<0.1%,-
Mercer Bears,Southern,14-19,-2,209,--,-1.8,-0.1,14.0-19.0,6.0-12.0,<0.1%,-
Portland State Vikings,Big Sky,12-19,-2.1,210,2,-1,-1.1,12.0-19.0,6.0-11.0,<0.1%,-
Wyoming Cowboys,Mountain West,9-22,-2.1,211,4,0.7,-2.9,9.0-22.0,4.0-14.0,<0.1%,-
Minnesota Golden Gophers,Big Ten,9-22,-2.2,212,2,-1.9,-0.4,9.0-22.0,2.0-17.0,<0.1%,-
George Washington Colonials,A 10,16-16,-2.3,213,3,2.2,-4.5,16.0-16.0,10.0-8.0,<0.1%,-
UTEP Miners,C-USA,14-18,-2.3,214,2,-4.3,2,14.0-18.0,7.0-13.0,<0.1%,-
Campbell Fighting Camels,Big South,16-18,-2.3,215,2,0.4,-2.7,16.0-18.0,8.0-10.0,<0.1%,-
Murray State Racers,MVC,17-15,-2.3,216,1,0.3,-2.6,17.0-15.0,11.0-9.0,<0.1%,-
Wofford Terriers,Southern,17-16,-2.4,217,--,2.6,-5,17.0-16.0,8.0-10.0,<0.1%,-
Jacksonville Dolphins,ASUN,13-16,-2.5,218,--,-2.7,0.2,13.0-16.0,6.0-12.0,<0.1%,-
Georgetown Hoyas,Big East,7-25,-2.5,219,1,-0.4,-2.1,7.0-25.0,2.0-18.0,<0.1%,-
Weber State Wildcats,Big Sky,18-15,-2.6,220,1,-3.1,0.5,18.0-15.0,12.0-6.0,<0.1%,-
Queens University Royals,ASUN,18-15,-2.6,221,--,1,-3.6,18.0-15.0,7.0-11.0,<0.1%,-
Delaware Blue Hens,CAA,17-16,-2.8,222,--,-1.3,-1.5,17.0-16.0,8.0-10.0,<0.1%,-
Robert Morris Colonials,Horizon,16-17,-2.9,223,--,-3.2,0.3,16.0-17.0,10.0-10.0,<0.1%,-
UMBC Retrievers,Am. East,18-14,-2.9,224,--,1.4,-4.3,18.0-14.0,8.0-8.0,<0.1%,-
Northern Arizona Lumberjacks,Big Sky,12-23,-3,225,2,0.9,-3.9,12.0-23.0,5.0-13.0,<0.1%,-
Morehead State Eagles,OVC,22-11,-3.1,226,17,-2.8,-0.3,22.1-11.9,14.0-4.0,>99.9%,23rd
Pepperdine Waves,WCC,9-22,-3.1,227,1,-0.6,-2.5,9.0-22.0,2.0-14.0,<0.1%,-
Howard Bison,MEAC,22-13,-3.2,228,3,-1.6,-1.5,22.0-13.0,11.0-3.0,>99.9%,-
South Carolina Gamecocks,SEC,11-21,-3.2,229,1,-1.5,-1.7,11.0-21.0,4.0-14.0,<0.1%,-
Texas State Bobcats,Sun Belt,16-19,-3.3,230,1,-1.4,-1.9,16.0-19.0,6.0-12.0,<0.1%,-
Northwestern State Demons,Southland,22-11,-3.4,231,1,-0.9,-2.4,22.0-11.0,13.0-5.0,<0.1%,-
North Florida Ospreys,ASUN,14-17,-3.4,232,1,1.7,-5.1,14.0-17.0,9.0-9.0,<0.1%,-
Oregon State Beavers,Pac-12,11-21,-3.4,233,3,-3.3,-0.1,11.0-21.0,5.0-15.0,<0.1%,-
Rice Owls,C-USA,18-15,-3.4,234,1,1,-4.3,18.2-15.8,8.0-12.0,<0.1%,45th
Bellarmine Knights,ASUN,15-18,-3.4,235,1,-0.2,-3.2,15.0-18.0,9.0-9.0,<0.1%,-
Army Black Knights,Patriot,17-16,-3.4,236,1,-0.2,-3.2,17.0-16.0,10.0-8.0,<0.1%,-
Maryland-Eastern Shore Hawks,MEAC,18-13,-3.6,237,--,-6,2.4,18.0-13.0,9.0-5.0,<0.1%,-
Boston University Terriers,Patriot,15-17,-3.6,238,2,-3.4,-0.2,15.0-17.0,8.0-10.0,<0.1%,-
Sacramento State Hornets,Big Sky,14-18,-3.6,239,3,-2.1,-1.5,14.0-18.0,7.0-11.0,<0.1%,-
Fairfield Stags,MAAC,13-18,-3.7,240,2,-3.6,-0.1,13.0-18.0,9.0-11.0,<0.1%,-
Loyola Chicago Ramblers,A 10,10-21,-3.7,241,--,-1.6,-2.1,10.0-21.0,4.0-14.0,<0.1%,-
Pacific Tigers,WCC,15-18,-3.7,242,6,-0.2,-3.5,15.0-18.0,7.0-9.0,<0.1%,-
SIU Edwardsville Cougars,OVC,19-14,-3.7,243,4,-2.5,-1.2,19.0-14.0,9.0-9.0,<0.1%,-
Winthrop Eagles,Big South,15-17,-3.8,244,1,1.7,-5.5,15.0-17.0,10.0-8.0,<0.1%,-
Niagara Purple Eagles,MAAC,16-15,-3.8,245,1,-1.8,-2,16.0-15.0,10.0-10.0,<0.1%,-
Nicholls Colonels,Southland,16-15,-3.9,246,4,-3.4,-0.5,16.0-15.0,11.0-7.0,<0.1%,-
UT Arlington Mavericks,WAC,11-21,-3.9,247,1,-3.2,-0.7,11.0-21.0,6.0-12.0,<0.1%,-
Jacksonville State Gamecocks,ASUN,13-18,-3.9,248,1,-1.7,-2.2,13.0-18.0,6.0-12.0,<0.1%,-
Rhode Island Rams,A 10,9-22,-3.9,249,2,-4.6,0.6,9.0-22.0,5.0-13.0,<0.1%,-
North Alabama Lions,ASUN,18-14,-4,250,2,-0.6,-3.4,18.2-14.8,10.0-8.0,<0.1%,49th
Canisius Golden Griffins,MAAC,10-20,-4,251,2,-1.7,-2.3,10.0-20.0,8.0-12.0,<0.1%,-
Coastal Carolina Chanticleers,Sun Belt,11-20,-4,252,1,-0.3,-3.7,11.0-20.0,5.0-13.0,<0.1%,-
North Dakota State Bison,Summit,16-17,-4.1,253,5,-1.3,-2.7,16.0-17.0,11.0-7.0,<0.1%,-
San Diego Toreros,WCC,11-20,-4.1,254,--,2.5,-6.6,11.0-20.0,4.0-12.0,<0.1%,-
Lafayette Leopards,Patriot,11-23,-4.2,255,6,-5.1,0.9,11.0-23.0,7.0-11.0,<0.1%,-
South Carolina Upstate Spartans,Big South,16-15,-4.2,256,1,-3.2,-1,16.1-15.9,10.0-8.0,<0.1%,44th
Southeast Missouri State Redhawks,OVC,19-17,-4.3,257,1,-2.4,-1.9,19.0-17.0,10.0-8.0,<0.1%,-
Dartmouth Big Green,Ivy,10-18,-4.3,258,1,-3.4,-0.9,10.0-18.0,6.0-8.0,<0.1%,-
Florida International Panthers,C-USA,14-18,-4.4,259,1,-2.4,-1.9,14.0-18.0,8.0-12.0,<0.1%,-
UT Rio Grande Valley Vaqueros,WAC,15-17,-4.4,260,1,-1.2,-3.2,15.0-17.0,5.0-12.0,<0.1%,-
UT Martin Skyhawks,OVC,19-14,-4.4,261,1,-1.3,-3.1,19.0-14.0,10.0-8.0,<0.1%,-
Oakland Golden Grizzlies,Horizon,13-19,-4.5,262,4,0.2,-4.6,13.0-19.0,11.0-9.0,<0.1%,-
East Tennessee State Buccaneers,Southern,12-20,-4.7,263,--,-2.7,-2,12.0-20.0,8.0-10.0,<0.1%,-
American University Eagles,Patriot,17-15,-4.8,264,1,-2.3,-2.5,17.0-15.0,7.0-11.0,<0.1%,-
Fairleigh Dickinson Knights,NEC,21-15,-4.9,265,25,1.2,-6.1,21.0-16.0,10.0-6.0,<0.1%,26th
Northern Colorado Bears,Big Sky,12-20,-4.9,266,1,0.4,-5.3,12.0-20.0,6.0-12.0,<0.1%,-
Southern Jaguars,SWAC,15-17,-4.9,267,3,-4.7,-0.3,15.0-17.0,11.0-7.0,<0.1%,-
Lehigh Mountain Hawks,Patriot,16-14,-4.9,268,2,-4.6,-0.3,16.0-14.0,11.0-7.0,<0.1%,-
Morgan State Bears,MEAC,15-16,-5,269,1,-5.4,0.5,15.0-16.0,7.0-7.0,<0.1%,-
New Hampshire Wildcats,Am. East,15-15,-5,270,1,-3.9,-1.2,15.0-15.0,9.0-7.0,<0.1%,-
Illinois State Redbirds,MVC,11-21,-5.1,271,2,-2.8,-2.4,11.0-21.0,6.0-14.0,<0.1%,-
Bucknell Bison,Patriot,12-20,-5.2,272,1,-2.5,-2.7,12.0-20.0,5.0-13.0,<0.1%,-
Maine Black Bears,Am. East,13-17,-5.2,273,5,-3.1,-2.1,13.0-17.0,7.0-9.0,<0.1%,-
Miami (OH) Redhawks,MAC,12-20,-5.3,274,1,-1.1,-4.3,12.0-20.0,6.0-12.0,<0.1%,-
Alcorn State Braves,SWAC,18-14,-5.5,275,3,-2.7,-2.8,18.0-14.0,15.0-3.0,>99.9%,-
Marist Red Foxes,MAAC,13-20,-5.5,276,2,-4.4,-1.2,13.0-20.0,6.0-14.0,<0.1%,-
Wagner Seahawks,NEC,15-13,-5.6,277,4,-5.8,0.2,15.0-13.0,8.0-8.0,<0.1%,-
Mount St. Mary's Mountaineers,MAAC,13-20,-5.6,278,2,-5.4,-0.2,13.0-20.0,8.0-12.0,<0.1%,-
SE Louisiana Lions,Southland,18-14,-5.6,279,1,-0.9,-4.7,18.0-14.0,12.0-6.0,<0.1%,-
UL Monroe Warhawks,Sun Belt,11-21,-5.7,280,3,-4.1,-1.6,11.0-21.0,7.0-11.0,<0.1%,-
Southern Indiana Screaming Eagles,OVC,16-16,-5.7,281,1,-1.9,-3.8,16.2-16.8,9.0-9.0,<0.1%,50th
Northern Illinois Huskies,MAC,13-19,-5.7,282,2,-3.7,-2,13.0-19.0,9.0-9.0,<0.1%,-
Tennessee Tech Golden Eagles,OVC,16-17,-5.8,283,2,-2.7,-3.1,16.0-17.0,11.0-7.0,<0.1%,-
Merrimack Warriors,NEC,18-16,-5.8,284,3,-9.1,3.4,18.0-16.0,12.0-4.0,>99.9%,-
Bowling Green Falcons,MAC,11-20,-5.8,285,3,-0.6,-5.3,11.0-20.0,5.0-13.0,<0.1%,-
Manhattan Jaspers,MAAC,12-18,-5.9,286,3,-4.3,-1.5,12.0-18.0,10.0-10.0,<0.1%,-
Georgia State Panthers,Sun Belt,10-21,-5.9,287,8,-4.8,-1,10.0-21.0,3.0-15.0,<0.1%,-
Idaho State Bengals,Big Sky,11-21,-6,288,3,-2.5,-3.4,11.0-21.0,8.0-10.0,<0.1%,-
Western Illinois Leathernecks,Summit,16-14,-6,289,--,-2.2,-3.8,16.0-14.0,9.0-9.0,<0.1%,-
Valparaiso Beacons,MVC,11-21,-6.1,290,4,-4,-2,11.0-21.0,5.0-15.0,<0.1%,-
Prairie View A&M Panthers,SWAC,13-19,-6.2,291,3,-6.2,0,13.0-19.0,9.0-9.0,<0.1%,-
Saint Peter's Peacocks,MAAC,14-18,-6.3,292,1,-5.3,-1,14.0-18.0,7.0-13.0,<0.1%,-
Chicago State Cougars,Indep.,11-20,-6.4,293,3,-1.3,-5.1,11.0-20.0,---,-,-
Charleston Southern Buccaneers,Big South,10-21,-6.5,294,2,-0.2,-6.3,10.0-21.0,5.0-13.0,<0.1%,-
North Dakota Fighting Hawks,Summit,13-20,-6.6,295,--,-1.4,-5.2,13.0-20.0,6.0-12.0,<0.1%,-
Idaho Vandals,Big Sky,10-22,-6.6,296,2,-0.6,-6,10.0-22.0,4.0-14.0,<0.1%,-
Sacred Heart Pioneers,NEC,16-17,-6.7,297,6,-4,-2.7,16.0-17.0,8.0-8.0,<0.1%,-
Tennessee State Tigers,OVC,18-14,-6.7,298,3,-2,-4.7,18.0-14.0,10.0-8.0,<0.1%,-
Binghamton Bearcats,Am. East,13-18,-6.7,299,1,-4.1,-2.6,13.0-18.0,8.0-8.0,<0.1%,-
High Point Panthers,Big South,14-17,-6.7,300,3,-3.1,-3.6,14.0-17.0,6.0-12.0,<0.1%,-
Louisville Cardinals,ACC,4-28,-6.8,301,2,-3.1,-3.7,4.0-28.0,2.0-18.0,<0.1%,-
California Golden Bears,Pac-12,3-29,-6.9,302,--,-6.1,-0.7,3.0-29.0,2.0-18.0,<0.1%,-
Arkansas State Red Wolves,Sun Belt,13-20,-7,303,1,-3.4,-3.6,13.0-20.0,4.0-14.0,<0.1%,-
Texas Southern Tigers,SWAC,14-21,-7,304,4,-5.4,-1.6,14.0-21.0,7.0-11.0,<0.1%,-
North Carolina A&T Aggies,CAA,13-19,-7.2,305,1,-4.1,-3.1,13.0-19.0,8.0-10.0,<0.1%,-
UIC Flames,MVC,12-20,-7.2,306,1,-5.6,-1.6,12.0-20.0,4.0-16.0,<0.1%,-
UC San Diego Tritons,Big West,10-20,-7.3,307,2,-3.3,-3.9,10.0-20.0,5.0-13.0,<0.1%,-
William & Mary Tribe,CAA,13-20,-7.4,308,1,-3,-4.4,13.0-20.0,7.0-11.0,<0.1%,-
Northeastern Huskies,CAA,10-20,-7.5,309,1,-4.7,-2.9,10.0-20.0,6.0-12.0,<0.1%,-
Jackson State Tigers,SWAC,14-19,-7.6,310,2,-4.5,-3.1,14.0-19.0,12.0-6.0,<0.1%,-
Cal State Bakersfield Roadrunners,Big West,11-22,-7.9,311,--,-7.2,-0.6,11.0-22.0,6.0-14.0,<0.1%,-
St. Francis (PA) Red Flash,NEC,13-18,-7.9,312,1,-1.4,-6.5,13.0-18.0,9.0-7.0,<0.1%,-
Texas A&M-Commerce Lions,Southland,13-20,-7.9,313,1,-2.7,-5.3,13.0-20.0,9.0-9.0,<0.1%,-
Stonehill Skyhawks,NEC,14-17,-8,314,3,-5.8,-2.2,14.0-17.0,10.0-6.0,<0.1%,-
Loyola Maryland Greyhounds,Patriot,13-20,-8,315,1,-3.9,-4.1,13.0-20.0,7.0-11.0,<0.1%,-
South Dakota Coyotes,Summit,12-19,-8.1,316,1,-1.7,-6.4,12.0-19.0,7.0-11.0,<0.1%,-
Western Michigan Broncos,MAC,8-23,-8.2,317,3,-1.5,-6.7,8.0-23.0,4.0-14.0,<0.1%,-
Tulsa Golden Hurricane,American,5-25,-8.4,318,--,-3.9,-4.5,5.0-25.0,1.0-17.0,<0.1%,-
Kansas City Roos,Summit,11-21,-8.4,319,--,-7.1,-1.3,11.0-21.0,7.0-11.0,<0.1%,-
The Citadel Bulldogs,Southern,10-22,-8.5,320,--,-4,-4.5,10.0-22.0,5.0-13.0,<0.1%,-
Stony Brook Seawolves,CAA,11-22,-8.6,321,1,-5.1,-3.5,11.0-22.0,6.0-12.0,<0.1%,-
NJIT Highlanders,Am. East,7-23,-8.7,322,2,-4.9,-3.8,7.0-23.0,4.0-12.0,<0.1%,-
Little Rock Trojans,OVC,10-21,-8.7,323,3,-2.9,-5.9,10.0-21.0,6.0-12.0,<0.1%,-
Cal State Northridge Matadors,Big West,7-25,-8.8,324,3,-5.8,-3,7.0-25.0,4.0-16.0,<0.1%,-
Alabama A&M Bulldogs,SWAC,15-18,-8.8,325,--,-6,-2.9,15.0-18.0,10.0-8.0,<0.1%,-
Cal Poly Mustangs,Big West,8-25,-8.9,326,3,-8.3,-0.5,8.0-25.0,1.0-18.0,<0.1%,-
Denver Pioneers,Summit,15-17,-9,327,2,-3.7,-5.3,15.0-17.0,6.0-12.0,<0.1%,-
UTSA Roadrunners,C-USA,10-22,-9,328,--,-4,-5.1,10.0-22.0,4.0-16.0,<0.1%,-
Omaha Mavericks,Summit,9-23,-9.1,329,1,-3.3,-5.8,9.0-23.0,4.0-14.0,<0.1%,-
Austin Peay Governors,ASUN,9-22,-9.1,330,3,-4.9,-4.2,9.0-22.0,3.0-15.0,<0.1%,-
Central Connecticut Blue Devils,NEC,10-22,-9.3,331,1,-4.6,-4.7,10.0-22.0,7.0-9.0,<0.1%,-
Eastern Michigan Eagles,MAC,8-23,-9.4,332,1,-3.2,-6.1,8.0-23.0,5.0-13.0,<0.1%,-
Columbia Lions,Ivy,7-22,-9.5,333,--,-5.9,-3.6,7.0-22.0,2.0-12.0,<0.1%,-
Central Arkansas Bears,ASUN,9-22,-9.7,334,--,-4.5,-5.1,9.0-22.0,4.0-14.0,<0.1%,-
Coppin State Eagles,MEAC,9-23,-9.8,335,1,-3.8,-6,9.0-23.0,4.0-10.0,<0.1%,-
Central Michigan Chippewas,MAC,10-21,-9.9,336,1,-8.2,-1.7,10.0-21.0,5.0-13.0,<0.1%,-
Arkansas-Pine Bluff Golden Lions,SWAC,10-21,-10,337,--,-8.2,-1.8,10.0-21.0,6.0-12.0,<0.1%,-
Eastern Illinois Panthers,OVC,9-22,-10.1,338,1,-7.4,-2.6,9.0-22.0,5.0-13.0,<0.1%,-
McNeese Cowboys,Southland,11-23,-10.1,339,1,-4,-6.1,11.0-23.0,6.0-12.0,<0.1%,-
Elon Phoenix,CAA,8-24,-10.1,340,2,-5.3,-4.8,8.0-24.0,6.0-12.0,<0.1%,-
Holy Cross Crusaders,Patriot,10-22,-10.3,341,--,-6.7,-3.7,10.0-22.0,7.0-11.0,<0.1%,-
Albany Great Danes,Am. East,8-23,-10.5,342,--,-4.7,-5.8,8.0-23.0,3.0-13.0,<0.1%,-
Lindenwood Lions,OVC,11-21,-10.6,343,--,-6.2,-4.4,11.0-21.0,6.0-12.0,<0.1%,-
St. Francis Brooklyn Terriers,NEC,14-16,-10.7,344,1,-7.8,-2.9,14.0-16.0,7.0-9.0,<0.1%,-
Presbyterian Blue Hose,Big South,5-27,-10.8,345,1,-7.1,-3.6,5.0-27.0,1.0-17.0,<0.1%,-
South Carolina State Bulldogs,MEAC,5-26,-11,346,--,-4.2,-6.8,5.0-26.0,2.0-12.0,<0.1%,-
VMI Keydets,Southern,7-25,-11.1,347,--,-3.3,-7.8,7.0-25.0,2.0-16.0,<0.1%,-
Incarnate Word Cardinals,Southland,12-19,-11.3,348,--,-5.8,-5.6,12.0-19.0,6.0-12.0,<0.1%,-
Hampton Pirates,CAA,8-24,-11.4,349,--,-5.2,-6.2,8.0-24.0,5.0-13.0,<0.1%,-
New Orleans Privateers,Southland,12-20,-11.7,350,1,-5.5,-6.2,12.0-20.0,7.0-11.0,<0.1%,-
Bethune-Cookman Wildcats,SWAC,12-20,-11.7,351,1,-5.7,-6,12.0-20.0,8.0-10.0,<0.1%,-
Alabama State Hornets,SWAC,8-23,-12.2,352,1,-8.3,-3.9,8.0-23.0,6.0-12.0,<0.1%,-
Evansville Purple Aces,MVC,5-27,-12.3,353,1,-8.8,-3.5,5.0-27.0,1.0-19.0,<0.1%,-
Houston Christian Huskies,Southland,10-22,-12.6,354,1,-2.8,-9.8,10.0-22.0,7.0-11.0,<0.1%,-
Monmouth Hawks,CAA,7-26,-12.7,355,1,-8.9,-3.8,7.0-26.0,5.0-13.0,<0.1%,-
Delaware State Hornets,MEAC,6-24,-14.2,356,--,-8.7,-5.5,6.0-24.0,4.0-10.0,<0.1%,-
Lamar Cardinals,Southland,9-22,-14.8,357,--,-7.7,-7.1,9.0-22.0,5.0-13.0,<0.1%,-
Hartford Hawks,Indep.,5-23,-15,358,1,-8.7,-6.4,5.0-23.0,---,-,-
Mississippi Valley State Delta Devils,SWAC,5-27,-15,359,1,-9.8,-5.2,5.0-27.0,4.0-14.0,<0.1%,-
IUPUI Jaguars,Horizon,5-27,-15.2,360,--,-7.5,-7.7,5.0-27.0,2.0-18.0,<0.1%,-
Florida A&M Rattlers,SWAC,7-22,-15.2,361,--,-11.5,-3.7,7.0-22.0,5.0-13.0,<0.1%,-
Long Island University Sharks,NEC,3-26,-15.8,362,--,-9.5,-6.3,3.0-26.0,1.0-15.0,<0.1%,-
Green Bay Phoenix,Horizon,3-29,-16.9,363,--,-9.6,-7.3,3.0-29.0,2.0-18.0,<0.1%,-
,POWER INDEX,,,,,PROJECTIONS,,,,,