,,Team,,CONF,KPI_rk,Record,Conf_Record,Home_record,Away_record,Best,Worst,,,KPI_sos,KPI_sos_rk,Diff,ODiff,DDiff
,,Southern Utah,,Big Sky,-0.081,16 - 16,11 - 12,10 - 3,6 - 13,0.34 (N) Northern Colorado,-0.53 @ Northern Arizona,,,-0.11,285,-0.036,-0.049,0.013
,,Massachusetts,,Atlantic 10,-0.082,11 - 21,4 - 15,9 - 8,2 - 13,0.57 (H) Davidson,-0.66 (H) Fordham,,,-0.007,142,-0.038,0.015,-0.053
,,Detroit,,Horizon,-0.082,11 - 20,8 - 11,7 - 6,4 - 14,0.47 (H) Bowling Green,-0.65 (H) Youngstown State,,,-0.006,140,-0.055,0.019,-0.074
,,LaSalle,,Atlantic 10,-0.083,10 - 21,8 - 11,5 - 9,5 - 12,0.58 (H) Davidson,-0.64 (H) Lafayette,,,0.011,116,-0.048,-0.038,-0.011
,,Southeastern Louisiana,,Southland,-0.084,17 - 16,13 - 7,9 - 5,8 - 11,0.57 @ Abilene Christian,-0.78 @ Mississippi Valley State,,,-0.106,280,-0.021,-0.03,0.009
,,North Carolina A&T,,MEAC,-0.084,19 - 13,14 - 4,11 - 2,8 - 11,0.12 @ North Carolina Central,-0.63 @ Florida A&M,,,-0.174,349,-0.043,-0.019,-0.024
,,Montana State,,Big Sky,-0.085,15 - 17,12 - 10,9 - 4,6 - 13,0.39 @ Northern Colorado,-0.61 @ Denver,,,-0.093,263,-0.045,0.039,-0.083
,,The Citadel,,SoCon,-0.086,12 - 18,4 - 15,8 - 7,4 - 11,0.47 @ South Florida,-0.72 (H) Western Carolina,,,-0.039,193,-0.052,0.048,-0.1
,,Boston U.,,Patriot,-0.086,15 - 18,8 - 12,7 - 8,8 - 10,0.70 @ Northeastern,-0.68 (H) Bethune-Cookman,,,-0.08,243,-0.021,0.013,-0.034
,,Rider,,MAAC,-0.086,16 - 15,11 - 8,9 - 3,7 - 12,0.33 (N) Northern Colorado,-0.60 @ Manhattan,,,-0.115,294,0.009,0.004,0.004
,,Richmond,,Atlantic 10,-0.086,13 - 20,7 - 13,7 - 10,6 - 10,0.60 @ Saint Louis,-0.71 (N) Wyoming,,,-0.027,163,-0.011,0.044,-0.055
,,Iona,,MAAC,-0.087,17 - 15,15 - 6,8 - 3,9 - 12,0.26 (N) Hartford,-0.68 @ Fairfield,,,-0.12,301,0.001,0.047,-0.046
,,Dartmouth,,Ivy,-0.088,11 - 19,2 - 12,8 - 6,3 - 13,0.50 (H) Harvard,-0.63 (N) Marist,,,-0.045,202,0.004,0.022,-0.018
,,IUPUI,,Horizon,-0.089,16 - 16,8 - 11,11 - 4,5 - 12,0.47 (H) Northern Kentucky,-0.66 (H) Youngstown State,,,-0.107,281,0.007,0.009,-0.002
,,Hampton,,Big South,-0.092,15 - 16,10 - 8,10 - 3,5 - 13,0.49 @ Radford,-0.61 @ St. Peter's,,,-0.123,310,0.022,0.042,-0.02
,,American,,Patriot,-0.097,15 - 15,9 - 10,8 - 7,7 - 8,0.43 (H) Bucknell,-0.73 (H) Mount St. Mary's,,,-0.102,276,0.022,0.002,0.019
,,Army,,Patriot,-0.097,13 - 19,8 - 11,10 - 4,3 - 15,0.44 (H) Colgate,-0.69 (H) Niagara,,,-0.072,234,-0.029,-0.058,0.029
,,George Washington,,Atlantic 10,-0.099,9 - 24,5 - 15,6 - 11,3 - 13,0.28 @ Saint Joseph's,-0.52 @ Fordham,,,0.018,107,-0.098,-0.075,-0.023
,,James Madison,,CAA,-0.1,14 - 19,7 - 13,8 - 6,6 - 13,0.72 @ Hofstra,-0.66 (H) Elon,,,-0.073,235,-0.073,-0.03,-0.044
,,UNC-Wilmington,,CAA,-0.104,10 - 23,6 - 14,5 - 9,5 - 14,0.61 (H) Hofstra,-0.67 (H) Towson,,,-0.007,143,-0.078,0.012,-0.09
,,Robert Morris,,NEC,-0.107,17 - 16,12 - 8,12 - 3,5 - 13,0.22 (H) Fairleigh Dickinson,-0.69 (H) Central Connecticut,,,-0.141,330,-0.028,-0.055,0.027
,,UC-Davis,,Big West,-0.107,11 - 20,7 - 10,7 - 6,4 - 14,0.43 @ UC-Santa Barbara,-0.75 (H) UC-Riverside,,,-0.05,207,-0.058,-0.067,0.009
,,Chattanooga,,SoCon,-0.107,12 - 20,7 - 12,8 - 6,4 - 14,0.23 (H) Samford,-0.71 (H) Western Carolina,,,-0.036,182,-0.059,-0.025,-0.034
,,TAMU-Corpus Christi,,Southland,-0.109,14 - 18,9 - 10,9 - 7,5 - 11,0.35 @ Texas-Arlington,-0.57 (N) Central Arkansas,,,-0.119,300,-0.047,-0.061,0.014
,,Canisius,,MAAC,-0.109,15 - 17,12 - 8,5 - 8,10 - 9,0.53 @ Bucknell,-0.74 (H) Manhattan,,,-0.094,265,-0.063,-0.008,-0.055
,,Stephen F. Austin,,Southland,-0.11,14 - 16,7 - 11,10 - 6,4 - 10,0.68 @ Baylor,-0.74 (H) Northwestern State,,,-0.147,334,-0.084,-0.059,-0.025
,,Western Michigan,,MAC,-0.113,8 - 24,2 - 17,5 - 9,3 - 15,0.25 (H) Miami (OH),-0.95 (H) USC-Upstate,,,0.034,99,-0.074,-0.046,-0.029
,,VMI,,SoCon,-0.114,11 - 21,5 - 15,8 - 7,3 - 14,0.10 (H) The Citadel,-0.53 (H) Chattanooga,,,-0.038,191,-0.074,-0.011,-0.063
,,Cal State-Northridge,,Big West,-0.116,13 - 20,7 - 10,7 - 9,6 - 11,0.29 @ Pepperdine,-0.78 (H) Portland,,,-0.081,246,-0.055,0.024,-0.079
,,North Alabama,,ASUN,-0.117,10 - 22,7 - 10,8 - 4,2 - 18,0.36 (H) NJIT,-0.70 @ Stetson,,,-0.032,171,-0.125,-0.102,-0.024
,,Monmouth,,MAAC,-0.118,14 - 21,13 - 9,6 - 6,8 - 15,0.49 @ Penn,-0.65 (H) Marist,,,-0.086,256,-0.086,-0.1,0.015
,,Charlotte,,C-USA,-0.12,8 - 21,5 - 13,5 - 9,3 - 12,0.41 (H) Louisiana Tech,-0.59 @ UTEP,,,0.008,119,-0.117,-0.085,-0.032
,,Sacramento State,,Big Sky,-0.12,15 - 16,9 - 13,10 - 5,5 - 11,0.23 @ Eastern Washington,-0.77 @ Idaho,,,-0.131,321,-0.033,-0.062,0.029
,,South Dakota,,Summit,-0.122,13 - 17,7 - 10,8 - 6,5 - 11,0.25 (N) UMBC,-0.79 (H) Western Illinois,,,-0.095,269,-0.014,-0.023,0.009
,,St. Francis (NY),,NEC,-0.122,17 - 15,9 - 10,11 - 3,6 - 12,0.21 @ Presbyterian,-0.73 (H) Mount St. Mary's,,,-0.161,342,-0.031,-0.051,0.021
,,UMass Lowell,,America East,-0.122,15 - 17,7 - 10,8 - 5,7 - 12,0.38 (H) NJIT,-0.94 (H) Maine,,,-0.122,309,-0.017,0.032,-0.049
,,Arkansas-Little Rock,,Sun Belt,-0.122,10 - 21,5 - 13,7 - 9,3 - 12,0.34 (H) Sam Houston State,-0.65 (H) Arkansas-Pine Bluff,,,-0.04,196,-0.04,-0.032,-0.008
,,Tennessee-Martin,,OVC,-0.123,12 - 19,7 - 13,10 - 4,2 - 15,0.39 (H) Jacksonville State,-0.62 @ Tulane,,,-0.091,260,-0.099,0.013,-0.112
,,Tulane,,AAC,-0.126,4 - 27,0 - 19,3 - 12,1 - 15,0.45 (N) South Dakota State,-0.91 (N) Alabama A&M,,,0.085,79,-0.118,-0.082,-0.037
,,Fordham,,Atlantic 10,-0.13,12 - 20,3 - 16,9 - 10,3 - 10,0.45 @ Rhode Island,-0.73 @ Maine,,,-0.079,242,-0.042,-0.045,0.003
,,Quinnipiac,,MAAC,-0.13,16 - 14,11 - 8,7 - 8,9 - 6,0.23 @ Iona,-0.74 (H) Manhattan,,,-0.165,345,-0.006,0.03,-0.036
,,Houston Christian,,Southland,-0.13,12 - 18,8 - 11,9 - 4,3 - 14,0.27 @ Wake Forest,-0.67 @ McNeese State,,,-0.101,275,-0.05,0.036,-0.085
,,Sacred Heart,,NEC,-0.132,15 - 17,11 - 8,10 - 3,5 - 14,0.24 (H) Hartford,-0.74 (H) Mount St. Mary's,,,-0.121,305,-0.009,0.034,-0.044
,,Oral Roberts,,Summit,-0.133,11 - 21,7 - 10,7 - 6,4 - 15,0.45 @ Nebraska-Omaha,-0.65 @ Western Illinois,,,-0.068,225,-0.098,-0.011,-0.086
,,Portland,,WCC,-0.133,7 - 25,0 - 17,6 - 11,1 - 14,0.10 (H) Sacramento State,-0.55 (H) Grambling,,,-0.017,154,-0.156,-0.092,-0.064
,,Cleveland State,,Horizon,-0.134,10 - 21,5 - 13,8 - 9,2 - 12,0.57 @ Northern Kentucky,-0.59 @ Milwaukee,,,-0.078,240,-0.067,-0.015,-0.052
,,Loyola (MD),,Patriot,-0.135,11 - 21,7 - 12,7 - 5,4 - 16,0.44 (H) Colgate,-0.66 (H) Lafayette,,,-0.044,199,-0.071,-0.016,-0.054
,,Western Carolina,,SoCon,-0.136,7 - 25,4 - 15,4 - 8,3 - 17,0.23 (H) Samford,-0.61 (H) VMI,,,0.016,111,-0.093,-0.038,-0.055
,,Idaho State,,Big Sky,-0.137,11 - 19,7 - 14,6 - 7,5 - 12,0.32 @ Santa Clara,-0.69 (H) Northern Arizona,,,-0.082,250,-0.098,0.015,-0.113
,,Central Arkansas,,Southland,-0.137,14 - 19,9 - 11,8 - 5,6 - 14,0.39 @ Sam Houston State,-0.74 (H) Northwestern State,,,-0.097,271,-0.09,-0.039,-0.051
,,Lafayette,,Patriot,-0.139,10 - 20,7 - 12,4 - 11,6 - 9,0.28 @ Fairleigh Dickinson,-0.62 @ St. Peter's,,,-0.072,232,-0.099,-0.017,-0.082
,,Elon,,CAA,-0.141,11 - 21,7 - 12,5 - 11,6 - 10,0.24 @ William & Mary,-0.73 (N) UC-Riverside,,,-0.063,220,-0.1,-0.047,-0.052
,,Longwood,,Big South,-0.141,15 - 17,5 - 12,9 - 5,6 - 12,0.35 @ Winthrop,-0.84 @ USC-Upstate,,,-0.16,341,-0.065,-0.066,0.001
,,Long Island,,NEC,-0.142,16 - 16,10 - 10,8 - 5,8 - 11,0.35 (H) Brown,-0.73 (H) Binghamton,,,-0.155,340,-0.013,-0.024,0.011
,,Eastern Illinois,,OVC,-0.142,14 - 18,7 - 12,7 - 6,7 - 12,0.38 @ Bradley,-0.78 (H) Tennessee Tech,,,-0.087,257,-0.079,-0.027,-0.052
,,North Carolina Central,,MEAC,-0.143,18 - 15,13 - 6,10 - 2,8 - 13,0.19 (N) Norfolk State,-0.81 (H) Coppin State,,,-0.209,354,-0.027,-0.019,-0.008
,,North Dakota,,Summit,-0.145,12 - 18,6 - 11,8 - 6,4 - 12,0.22 @ Purdue-Fort Wayne,-0.98 (H) Idaho,,,-0.121,303,-0.047,-0.046,-0.001
,,Grambling,,SWAC,-0.145,17 - 16,11 - 9,11 - 3,6 - 13,0.28 @ Texas Southern,-0.81 @ Alabama A&M,,,-0.171,347,-0.048,-0.06,0.012
,,UTEP,,C-USA,-0.148,8 - 21,3 - 15,8 - 8,0 - 13,0.26 (H) Florida International,-0.56 (H) Middle Tennessee,,,-0.038,188,-0.112,-0.133,0.022
,,Youngstown State,,Horizon,-0.152,12 - 20,8 - 11,6 - 7,6 - 13,0.22 (H) Green Bay,-0.70 (H) Cleveland State,,,-0.084,255,-0.081,-0.004,-0.077
,,Wagner,,NEC,-0.153,13 - 17,8 - 11,7 - 7,6 - 10,0.27 @ St. Francis (PA),-0.78 (H) Mount St. Mary's,,,-0.134,324,-0.077,-0.068,-0.009
,,Towson,,CAA,-0.161,10 - 22,6 - 13,5 - 9,5 - 13,0.58 (H) Northeastern,-0.90 (H) Morgan State,,,-0.054,211,-0.079,-0.033,-0.046
,,Northern Arizona,,Big Sky,-0.162,10 - 21,8 - 13,5 - 7,5 - 14,0.47 @ Nebraska-Omaha,-0.74 @ San Jose State,,,-0.072,231,-0.065,-0.014,-0.051
,,Jacksonville,,ASUN,-0.162,12 - 20,5 - 12,5 - 8,7 - 12,0.26 @ North Florida,-0.75 (H) Florida A&M,,,-0.095,267,-0.05,-0.028,-0.022
,,Alabama State,,SWAC,-0.164,12 - 19,10 - 10,8 - 3,4 - 16,0.09 (H) Grambling,-0.71 @ Alcorn State,,,-0.133,322,-0.108,-0.063,-0.046
,,Nicholls State,,Southland,-0.164,14 - 17,7 - 11,9 - 4,5 - 13,0.24 @ New Orleans,-0.83 (H) McNeese State,,,-0.146,333,-0.08,-0.038,-0.042
,,Albany,,America East,-0.168,12 - 20,7 - 10,6 - 8,6 - 12,0.57 @ Stony Brook,-0.96 (H) New Hampshire,,,-0.111,286,-0.06,-0.038,-0.022
,,SE Missouri State,,OVC,-0.168,10 - 21,5 - 13,6 - 8,4 - 13,0.13 @ Eastern Illinois,-0.79 (H) Western Illinois,,,-0.082,247,-0.092,-0.046,-0.046
,,Wyoming,,Mountain West,-0.172,8 - 24,4 - 15,6 - 10,2 - 14,0.40 (H) South Carolina,-0.73 (H) Denver,,,-0.042,197,-0.143,-0.104,-0.039
,,Arkansas-Pine Bluff,,SWAC,-0.174,13 - 19,10 - 9,8 - 2,5 - 17,0.21 (H) Texas Southern,-0.71 @ Southern U.,,,-0.116,295,-0.1,-0.058,-0.041
,,Central Connecticut,,NEC,-0.174,11 - 20,5 - 13,5 - 7,6 - 13,0.32 @ Hartford,-0.77 (H) Mount St. Mary's,,,-0.109,284,-0.108,-0.049,-0.059
,,Jackson State,,SWAC,-0.177,13 - 19,10 - 9,9 - 4,4 - 15,0.12 @ Grambling,-0.76 @ Mississippi Valley State,,,-0.153,338,-0.133,-0.14,0.007
,,Howard,,MEAC,-0.179,17 - 16,11 - 7,6 - 7,11 - 9,0.24 @ Norfolk State,-0.89 (H) Morgan State,,,-0.204,353,-0.061,0.016,-0.077
,,Bryant,,NEC,-0.18,10 - 20,7 - 12,8 - 6,2 - 14,0.21 (H) St. Francis (PA),-0.54 @ Central Connecticut,,,-0.113,289,-0.107,-0.017,-0.09
,,Tennessee State,,OVC,-0.18,9 - 21,6 - 12,6 - 7,3 - 14,0.15 @ Morehead State,-0.76 (H) Tennessee Tech,,,-0.059,216,-0.092,-0.054,-0.038
,,Binghamton,,America East,-0.183,10 - 23,6 - 12,5 - 11,5 - 12,0.57 @ Stony Brook,-0.74 @ Morgan State,,,-0.095,268,-0.128,-0.053,-0.075
,,SIU-Edwardsville,,OVC,-0.186,10 - 21,6 - 13,7 - 8,3 - 13,0.33 (N) Northern Colorado,-0.70 @ Western Illinois,,,-0.106,279,-0.154,-0.073,-0.081
,,UC-Riverside,,Big West,-0.19,10 - 23,4 - 13,7 - 7,3 - 16,0.40 (H) Loyola Marymount,-0.99 (H) Cal Poly,,,-0.084,253,-0.097,-0.03,-0.067
,,Northwestern State,,Southland,-0.194,11 - 20,6 - 12,8 - 7,3 - 13,0.11 @ Stephen F. Austin,-0.67 @ UTEP,,,-0.123,311,-0.176,-0.13,-0.046
,,Kennesaw State,,ASUN,-0.195,6 - 26,3 - 14,6 - 8,0 - 18,0.35 (H) NJIT,-0.73 @ Stetson,,,-0.025,162,-0.217,-0.149,-0.068
,,Milwaukee,,Horizon,-0.197,9 - 22,4 - 14,6 - 8,3 - 14,0.21 @ Oakland,-0.72 (H) Youngstown State,,,-0.069,228,-0.091,-0.049,-0.041
,,Denver,,Summit,-0.198,8 - 22,3 - 13,6 - 7,2 - 15,0.23 (H) North Dakota State,-0.73 (N) Fairfield,,,-0.07,230,-0.096,-0.036,-0.059
,,Florida A&M,,MEAC,-0.2,12 - 19,9 - 7,6 - 4,6 - 15,0.17 (H) North Carolina A&T,-0.92 (H) MD-Eastern Shore,,,-0.133,323,-0.124,-0.13,0.005
,,Marist,,MAAC,-0.203,12 - 19,7 - 12,4 - 7,8 - 12,0.20 @ Canisius,-0.82 (H) Fairfield,,,-0.135,325,-0.043,-0.011,-0.031
,,Chicago State,,WAC,-0.204,3 - 29,0 - 17,3 - 8,0 - 21,0.08 (H) Eastern Illinois,-0.71 @ Western Illinois,,,0.019,106,-0.354,-0.185,-0.169
,,Mount St. Mary's,,NEC,-0.206,9 - 22,6 - 12,4 - 9,5 - 13,0.20 @ American,-0.76 @ Morgan State,,,-0.092,261,-0.115,-0.078,-0.037
,,Western Illinois,,Summit,-0.206,10 - 21,5 - 13,7 - 6,3 - 15,0.44 (N) South Dakota State,-0.70 @ Stetson,,,-0.12,302,-0.083,-0.063,-0.02
,,Tennessee Tech,,OVC,-0.209,8 - 23,4 - 14,5 - 10,3 - 13,0.26 (H) Louisiana-Monroe,-0.77 (H) Tennessee State,,,-0.052,210,-0.149,-0.148,-0.001
,,Bethune-Cookman,,MEAC,-0.213,14 - 17,9 - 8,10 - 4,4 - 13,0.21 (H) Florida Atlantic,-0.74 @ Morgan State,,,-0.186,351,-0.039,-0.059,0.021
,,Niagara,,MAAC,-0.219,13 - 19,6 - 13,8 - 8,5 - 11,0.34 (H) St. Bonaventure,-0.76 (H) St. Peter's,,,-0.161,343,-0.084,0.005,-0.09
,,Savannah State,,MEAC,-0.223,11 - 20,8 - 9,6 - 5,5 - 15,0.04 (H) Bethune-Cookman,-0.90 (N) Delaware State,,,-0.154,339,-0.187,-0.053,-0.134
,,St. Peter's,,MAAC,-0.227,10 - 22,7 - 13,7 - 7,3 - 15,0.16 (H) Siena,-0.73 (H) Manhattan,,,-0.135,326,-0.104,-0.079,-0.025
,,Manhattan,,MAAC,-0.228,11 - 21,9 - 11,4 - 9,7 - 12,0.20 @ Canisius,-0.69 @ Fairfield,,,-0.152,337,-0.129,-0.145,0.016
,,McNeese State,,Southland,-0.229,9 - 22,5 - 13,7 - 8,2 - 14,0.09 (H) North Carolina Central,-1.01 (H) Non D-I,,,-0.118,299,-0.126,-0.03,-0.095
,,San Jose State,,Mountain West,-0.231,4 - 27,1 - 18,4 - 11,0 - 16,0.19 (H) New Mexico,-0.81 (H) Wyoming,,,-0.019,156,-0.233,-0.12,-0.113
,,Stetson,,ASUN,-0.233,7 - 24,3 - 13,7 - 8,0 - 16,0.14 (H) Florida Gulf Coast,-0.73 (H) Jacksonville,,,-0.077,239,-0.162,-0.062,-0.101
,,Fairfield,,MAAC,-0.244,9 - 22,6 - 13,5 - 7,4 - 15,0.51 @ Bucknell,-0.68 (N) Manhattan,,,-0.137,327,-0.078,-0.059,-0.018
,,Cal Poly,,Big West,-0.248,6 - 23,2 - 14,4 - 8,2 - 15,0.20 (H) Hawaii,-0.84 (H) UC-Riverside,,,-0.082,249,-0.162,-0.063,-0.099
,,Alcorn State,,SWAC,-0.248,10 - 21,6 - 13,10 - 3,0 - 18,0.04 (H) Arkansas-Pine Bluff,-0.82 @ Alabama A&M,,,-0.163,344,-0.2,-0.128,-0.072
,,Maine,,America East,-0.252,5 - 27,3 - 14,3 - 9,2 - 18,0.15 @ UMass Lowell,-0.82 @ New Hampshire,,,-0.055,213,-0.155,-0.088,-0.067
,,Incarnate Word,,Southland,-0.269,6 - 25,1 - 17,5 - 9,1 - 16,0.24 (N) North Dakota State,-0.83 (H) McNeese State,,,-0.107,282,-0.195,-0.062,-0.133
,,Coppin State,,MEAC,-0.272,8 - 25,8 - 10,3 - 7,5 - 18,0.12 @ North Carolina Central,-1.01 (H) Delaware State,,,-0.099,272,-0.184,-0.15,-0.034
,,Southern U.,,SWAC,-0.276,7 - 25,6 - 13,6 - 5,1 - 20,0.29 @ Texas Southern,-0.81 @ Alabama A&M,,,-0.096,270,-0.163,-0.079,-0.084
,,USC-Upstate,,Big South,-0.285,6 - 26,1 - 16,5 - 9,1 - 17,0.06 @ Western Michigan,-0.96 (H) UNC-Asheville,,,-0.113,288,-0.138,-0.085,-0.052
,,South Carolina State,,MEAC,-0.297,8 - 26,6 - 12,5 - 6,3 - 20,0.03 (H) Florida A&M,-0.81 @ Delaware State,,,-0.138,328,-0.127,-0.026,-0.101
,,Idaho,,Big Sky,-0.298,5 - 27,2 - 19,4 - 11,1 - 16,0.17 (H) Eastern Washington,-0.95 (N) Non D-I,,,-0.114,290,-0.182,-0.074,-0.108
,,UNC-Asheville,,Big South,-0.3,4 - 27,2 - 15,3 - 10,1 - 17,0.00 @ USC-Upstate,-1.09 (H) Non D-I,,,-0.083,252,-0.251,-0.123,-0.128
,,Mississippi Valley State,,SWAC,-0.303,6 - 26,4 - 14,6 - 6,0 - 20,0.15 (H) Southeastern Louisiana,-0.84 @ Alabama A&M,,,-0.099,273,-0.238,-0.124,-0.114
,,MD-Eastern Shore,,MEAC,-0.311,7 - 25,5 - 12,5 - 7,2 - 18,0.05 @ Florida A&M,-0.84 (N) South Carolina State,,,-0.141,331,-0.299,-0.193,-0.107
,,New Hampshire,,America East,-0.317,5 - 24,3 - 13,4 - 10,1 - 14,0.10 (H) UMass Lowell,-0.82 (H) Fairfield,,,-0.127,316,-0.183,-0.17,-0.013
,,Morgan State,,MEAC,-0.337,9 - 21,4 - 13,6 - 7,3 - 14,0.12 (H) Navy,-1.02 (H) Non D-I,,,-0.182,350,-0.164,-0.105,-0.059
,,Alabama A&M,,SWAC,-0.342,5 - 27,4 - 14,4 - 8,1 - 19,0.08 (H) Grambling,-0.78 @ Mississippi Valley State,,,-0.115,293,-0.21,-0.152,-0.059
,,Non D-I,,Non D-I,-0.363,6 - 440,0 - 0,0 - 1,6 - 439,0.45 @ Southern Miss,-0.97 @ New Hampshire,,,-0.005,138,-0.556,-0.32,-0.236
,,Delaware State,,MEAC,-0.369,6 - 25,3 - 15,3 - 9,3 - 16,0.25 @ Delaware,-0.95 (H) Morgan State,,,-0.171,346,-0.274,-0.194,-0.081